customer_key,country,invoice_count,lifetime_value,last_order_ts,distinct_products_purchased
12583.0,France,15,7281.379999999997,2011-12-07 08:07:00,115
13748.0,United Kingdom,5,948.2499999999998,2011-09-05 09:45:00,24
17809.0,United Kingdom,12,5411.91,2011-11-23 12:59:00,46
15311.0,United Kingdom,91,60767.90000000014,2011-12-09 12:00:00,567
16098.0,United Kingdom,7,2005.6300000000003,2011-09-13 09:59:00,34
17420.0,United Kingdom,3,598.8300000000002,2011-10-20 14:52:00,28
16029.0,United Kingdom,63,81024.84,2011-11-01 10:27:00,44
16250.0,United Kingdom,2,389.44000000000005,2011-03-23 15:07:00,22
13705.0,United Kingdom,3,711.8599999999999,2011-12-02 12:32:00,25
13747.0,United Kingdom,1,79.6,2010-12-01 10:37:00,1
13408.0,United Kingdom,62,28117.03999999998,2011-12-08 09:05:00,234
17924.0,United Kingdom,7,2962.5,2011-11-28 09:11:00,26
13448.0,United Kingdom,6,3539.37,2011-11-23 12:33:00,137
15513.0,United Kingdom,19,14758.220000000001,2011-11-06 14:36:00,183
12791.0,Netherlands,1,192.60000000000002,2010-12-01 11:27:00,2
14307.0,United Kingdom,6,2995.7200000000003,2011-09-12 09:38:00,150
17908.0,United Kingdom,1,243.27999999999992,2010-12-01 11:45:00,51
17920.0,United Kingdom,17,4204.0999999999985,2011-12-05 14:29:00,407
13255.0,United Kingdom,2,399.51000000000005,2011-11-30 13:14:00,13
16583.0,United Kingdom,1,233.45000000000002,2010-12-01 12:03:00,14
18085.0,United Kingdom,2,689.9500000000004,2011-01-13 15:17:00,25
13758.0,United Kingdom,7,3190.55,2011-11-28 11:11:00,104
13694.0,United Kingdom,50,65039.62000000002,2011-12-06 09:32:00,366
14849.0,United Kingdom,25,7930.540000000001,2011-11-18 10:58:00,159
17968.0,United Kingdom,1,277.3499999999999,2010-12-01 12:23:00,74
17897.0,United Kingdom,3,566.5999999999997,2011-06-20 11:23:00,100
17572.0,United Kingdom,4,226.75000000000006,2011-09-29 17:53:00,7
14078.0,United Kingdom,6,1049.3700000000001,2011-08-30 12:16:00,46
14001.0,United Kingdom,3,2043.08,2011-10-25 10:31:00,34
12662.0,Germany,11,3849.7799999999997,2011-12-09 11:59:00,129
15525.0,United Kingdom,3,825.9199999999994,2011-12-07 14:43:00,133
14237.0,United Kingdom,1,161.0,2010-12-01 13:20:00,9
17905.0,United Kingdom,4,800.2400000000001,2011-09-29 17:33:00,33
15485.0,United Kingdom,3,2575.0,2011-11-09 14:31:00,59
12433.0,Norway,7,13375.869999999995,2011-12-09 10:02:00,219
16955.0,United Kingdom,4,518.6700000000001,2011-06-08 10:36:00,18
15350.0,United Kingdom,1,115.65,2010-12-01 13:33:00,5
18144.0,United Kingdom,12,2888.7500000000005,2011-12-02 12:46:00,27
14594.0,United Kingdom,2,379.83,2011-12-02 13:28:00,48
12921.0,United Kingdom,37,16587.090000000004,2011-11-30 16:22:00,233
16048.0,United Kingdom,2,256.44000000000005,2010-12-01 15:28:00,8
14496.0,United Kingdom,2,538.8100000000001,2011-02-01 09:01:00,16
14696.0,United Kingdom,7,2078.9500000000003,2011-12-05 13:43:00,117
16539.0,United Kingdom,4,1388.81,2011-12-07 08:41:00,36
17025.0,United Kingdom,3,357.77,2011-10-10 09:06:00,8
12947.0,United Kingdom,6,1603.9900000000005,2011-07-19 10:06:00,83
17460.0,United Kingdom,6,622.43,2011-09-06 15:04:00,18
17069.0,United Kingdom,9,2709.7,2011-11-11 17:13:00,111
14606.0,United Kingdom,93,12156.65000000002,2011-12-08 19:28:00,819
13090.0,United Kingdom,14,8910.820000000002,2011-12-01 12:39:00,98
14741.0,United Kingdom,6,1400.3399999999997,2011-11-28 08:48:00,35
13715.0,United Kingdom,5,1079.34,2011-03-03 19:21:00,89
12855.0,United Kingdom,1,38.1,2010-12-02 09:37:00,3
13941.0,United Kingdom,5,5112.960000000001,2011-11-18 09:43:00,24
17017.0,United Kingdom,20,8694.260000000002,2011-12-07 09:32:00,88
14135.0,United Kingdom,15,4690.310000000001,2011-12-08 11:38:00,95
13418.0,United Kingdom,18,6127.4299999999985,2011-11-28 10:23:00,223
15658.0,United Kingdom,5,1024.0999999999997,2011-06-02 15:22:00,40
18041.0,United Kingdom,21,4183.389999999996,2011-11-28 11:39:00,285
15955.0,United Kingdom,14,4416.259999999999,2011-11-15 14:15:00,137
15070.0,United Kingdom,1,106.2,2010-12-02 11:23:00,1
14390.0,United Kingdom,9,4652.8200000000015,2011-11-29 13:49:00,135
15260.0,United Kingdom,7,1810.77,2011-08-31 13:55:00,62
13305.0,United Kingdom,10,2000.8599999999997,2011-12-05 15:15:00,50
14491.0,United Kingdom,2,340.93,2011-06-17 15:22:00,17
15923.0,United Kingdom,1,127.08,2010-12-02 12:16:00,21
17287.0,United Kingdom,7,1064.1100000000004,2011-11-13 13:27:00,88
12915.0,United Kingdom,2,363.6499999999999,2011-07-14 11:34:00,19
14180.0,United Kingdom,25,4748.519999999998,2011-11-29 10:56:00,112
14466.0,United Kingdom,7,2272.400000000001,2011-11-10 14:07:00,35
17235.0,United Kingdom,2,550.06,2011-11-14 15:51:00,24
15107.0,United Kingdom,6,319.50000000000006,2011-02-01 14:46:00,12
17976.0,United Kingdom,1,353.1899999999998,2010-12-02 13:49:00,56
14449.0,United Kingdom,4,907.0999999999992,2011-11-21 12:06:00,201
15732.0,United Kingdom,2,294.12000000000006,2011-05-11 14:24:00,13
13138.0,United Kingdom,6,962.3900000000001,2011-11-17 16:51:00,31
17567.0,United Kingdom,8,4331.480000000001,2011-12-02 15:48:00,110
16770.0,United Kingdom,5,770.1000000000005,2011-10-13 12:21:00,116
17228.0,United Kingdom,8,1906.0899999999997,2011-11-24 10:24:00,140
17412.0,United Kingdom,7,1258.06,2011-12-07 11:36:00,48
14031.0,United Kingdom,19,17286.859999999993,2011-12-02 17:13:00,119
14775.0,United Kingdom,3,1011.8999999999999,2011-10-12 15:27:00,57
12971.0,United Kingdom,86,11189.909999999994,2011-12-06 12:20:00,94
17659.0,United Kingdom,12,2999.46,2011-11-22 13:29:00,127
13011.0,United Kingdom,1,50.550000000000004,2010-12-02 17:22:00,3
13798.0,United Kingdom,57,37153.849999999984,2011-12-08 15:51:00,113
16754.0,United Kingdom,1,2002.4,2010-12-02 17:38:00,2
16634.0,United Kingdom,2,217.9,2011-05-01 12:09:00,9
18239.0,United Kingdom,5,1561.6099999999997,2011-05-05 12:38:00,80
18168.0,United Kingdom,6,1169.9400000000005,2011-06-16 19:21:00,97
