customer_key,country,invoice_count,total_revenue,last_order_ts
14646.0,Netherlands,74,280206.01999999955,2011-12-08 12:12:00
18102.0,United Kingdom,60,259657.29999999993,2011-12-09 11:50:00
17450.0,United Kingdom,46,194550.79000000004,2011-12-01 13:29:00
16446.0,United Kingdom,2,168472.5,2011-12-09 09:15:00
14911.0,EIRE,201,143825.0599999996,2011-12-08 15:54:00
12415.0,Australia,21,124914.53000000006,2011-11-15 14:22:00
14156.0,EIRE,55,117379.63000000003,2011-11-30 10:54:00
17511.0,United Kingdom,31,91062.37999999998,2011-12-07 10:12:00
16029.0,United Kingdom,63,81024.83999999998,2011-11-01 10:27:00
12346.0,United Kingdom,1,77183.6,2011-01-18 10:01:00
16684.0,United Kingdom,28,66653.55999999998,2011-12-05 14:06:00
14096.0,United Kingdom,17,65164.789999999724,2011-12-05 17:17:00
13694.0,United Kingdom,50,65039.61999999999,2011-12-06 09:32:00
15311.0,United Kingdom,91,60767.900000000096,2011-12-09 12:00:00
13089.0,United Kingdom,97,58825.83000000009,2011-12-07 09:02:00
17949.0,United Kingdom,45,58510.48,2011-12-08 18:46:00
15769.0,United Kingdom,26,56252.719999999994,2011-12-02 13:52:00
15061.0,United Kingdom,48,54534.13999999997,2011-12-06 12:06:00
14298.0,United Kingdom,44,51527.2999999999,2011-12-01 13:12:00
14088.0,United Kingdom,13,50491.809999999954,2011-11-29 16:16:00
15749.0,United Kingdom,3,44534.3,2011-04-18 13:20:00
12931.0,United Kingdom,15,42055.96,2011-11-18 12:39:00
17841.0,United Kingdom,124,40991.57000000018,2011-12-08 12:07:00
15098.0,United Kingdom,3,39916.5,2011-06-10 15:33:00
13798.0,United Kingdom,57,37153.849999999984,2011-12-08 15:51:00
